skuCode,period,units
SKU-001,2024-01,1250
SKU-001,2024-02,1180
SKU-001,2024-03,1320
SKU-001,2024-04,1450
SKU-001,2024-05,1380
SKU-001,2024-06,1520
SKU-001,2024-07,1480
SKU-001,2024-08,1590
SKU-001,2024-09,1420
SKU-001,2024-10,1550
SKU-001,2024-11,1680
SKU-001,2024-12,1750
SKU-002,2024-01,850
SKU-002,2024-02,920
SKU-002,2024-03,880
SKU-002,2024-04,950
SKU-002,2024-05,1020
SKU-002,2024-06,980
SKU-002,2024-07,1050
SKU-002,2024-08,1100
SKU-002,2024-09,1080
SKU-002,2024-10,1150
SKU-002,2024-11,1200
SKU-002,2024-12,1280
